description,properties,tags,code,is_position,is_transition,start_position,end_position,trans_start_node,trans_end_node
shooting for underhook in bottom half,,half_guard bottom_turned_in top_kneeling,zZaCxbuvazA4zGdPy6v5dJCfAHcUyLvTcrCLGQbdBrzBa4IqBfflAXyjfpC9GpkhEmCMlHH8FegcCjyLkpKdG6eHFGARgZLSH2eQGxBFgBMSIvdYHlBZfjMXAJi3DdFdlxGEGOmKIsrViZCkv7dRybttf6D9vDefBStJhwD2wFdHA0yMiAIADebVChBecHLiD9bRI8HjiMMbKLeBLDCShgLYIXbzIvBbixIkHvdYE9ADjaHnHCeWEfzQiEGyGLfhDpE9dkM8JyhbLNK1iFKa,1,0,,,,
distant standing collar-tie,,standing collar_tie,KmazP6T7aCEkN0aPPHW5aFGBMYbNPIV1bCGiLFixOLRJg0FqP6m9LZQ4neIrLHtBNUKxtUIxHqrQORLbpkHYEsuQP2HBqJJIDjvtPUGTrOJ0CIvjOJFFrDKtPvqZJ3K0upLjIPvTLSCSaAJSzJaCYFz9aEMkvZaEYSA1bJLRw2bDYyBsiDMHBrfXVsxQmuRezlmtUDBotiNUEltGSkAiqLJ8CgqAU6Ezq6KyDXptRoE8sdJ9ErqhQtGnsnJZE2pKPrzmqkSEDit6PLEGvuN0,1,0,,,,
mini stomp one,,bottom_supine knee_slice quarter_guard,SfazKlJQeezRRCaTGJJ1hYz1RbbIHRJzgTAVNLgyLrHpegG0MikmFSIRkzEAIPiXOzEqiXL7KveHPrCueILXKuauPUBtaFNfKBa7Q4AXa9OhKvauScAAaCPnJakMIVF8jEOiEQiDQmLugcA5E6h3yaIydSA5HwfZz3IRe8BNHohrzUElh4GeLuilFtFYbNDRJGbRDWEwcnMMJnbKNzEcdaH9L8bfJMH8eIIjNAfmJLIYe5HnOpgiJsI9ewGgOTg7KmHKbRHNGMczOpGoekQq,1,0,,,,
turtle w/ single-leg vs vice grip,,single_leg_takedown turtle top_kneeling sprawl vice_grip,WjaBBXMaazBdTecpC6JYcnDzT4bnDzKcaVDmPPaZI0FQbeILL7gpGKI9fJEAGOifN0CJhDKhKLidLyCJc3JqImfmNrGedGL1IPezOlHjdCMIIhdnOsHOezNmIjhWIdEvh8MqDQitO0mQaGMAlYazPOqkbUMapecoPAptaYLsoNa9P9vja6HNvka5SowmgdMow7hjPSFoesKjGcfjPnDebWG0HHaTPbGZb9FdJ4baLwIcb4FtKZa7KzIMceGAKNbsJmADgkNrGUerMJJdemLo,1,0,,,,
octopus closed guard,,full_guard closed_guard octopus top_kneeling bottom_post_hand,zTazyUvSaAGuCnbrBtzxaEFTCwaSz6yJaEG3I5aZBDDhaYL5CudrCuAWdhFQIAiRFcFUiOJMK2fnG6FWecKsM4cNJFKkexKANLc5KKLzevK1Omb4LkMrdRKgCRg4EVHnjJHzJPjXIvw9g7AqvsiWBpzIfwCrxwgkCYyOgDCQxThvB8BRgDI0EEhgBjIgeyGUItb1EgJ6ljD8MTjHz9Hpk6HZOqfjzhDZjCF3OSblxDCMjSFPOzbKwqB6i5E0OcaLvBLdfpDULJlEBQLknIAb,1,0,,,,
judo side w/ crossface vs elbow blocking hip and neck frame,,judo_side crossface top_on_side bottom_supine frame,SaaGuAXmaCvzPxaQw8TGaEuUQSbsw5UvaEv6Tcf4BvSwa2CCL9e6BuLpbDCsQUfqIqMrf3LsTqbvI1LCb1NLQvbhL2PvbaLYPhbuMlQzbjLlOwaJM0ReauKELFerFMO6ghKtPahnMRtfaAJ1u9aFAQwTaEKrymaRCDvWbLKgxrbVCcATggI2CfgtDSHccYJiH1cHFIPLcTMpRabtHILhdfLgNiaTE4O0fbLsOFezDJQgfDLqOGfUDFQDgOLhNXgBCVLibVIuRnc1J7TeetLp,1,0,,,,
mono w/ figure four and foot-in-armpit,,monoplata bottom_supine,P5hjVRS6azYWQBdPUQPva8X6Rke4UqQJbOXTT9a6PsSXhuUGNgbCPcNvd4R0QTgtKgPukINoQObNJ0OLi3RKUnaOL4SyhWTGVla6MPTMidT7WtayMYUwhbUvMnfIN8QDi5LlSHktKlBtbm2mztaBX2E9bl2cC7a2XZEacd1yB5btW0HGh80rEwe4RFKyb0Y4I1bGVITlbvVkQTcsQ2R9czZGPbdXMZSWdTVKKVeoMwS6ebUwJZeTNfSoeTTLJTf0NMNobXVNS6bBSxVucCSa,1,0,,,,
judo side w/ whizzer vs shitty underhook,,judo_side side_control top_on_side whizzer bottom_turned_in,ItaOtDE9aCCGFzaHvRGxbFFWGSbov1G9biECKtctBFM0a0HXFKekGGF7bPJrJ1ieNeFgiEPUIyfyJCBiggO0IbbGLhE9epN0JqbDLKGndSNUJFaDMBHjemNeFdfSKFH2iQPaIRi7RIuCaPyGsmaBEgwnaEBWuWaIGRwtbzAPu4aIFnzJfVETBBaYDpAmePLRB6bQKrFKewTDIubxQNDNfLPwHMaWMfDhhjLBLGauKvDCh1KwM1awKvEHhLJWNyauJhC8cUOzIddySMKme2Tt,1,0,,,,
side control w/ near arm pin and far underhook,,side_control bottom_supine top_underhook top_arm_pin,wHazQgFDaDUhyZaFTcH5diTGy8a1RMIibST9Clb8LXOYa5UpGQfyQhI8e1TaNqfxJSQTeTN5MOaTKbTbaTOPQNaWLzTvaHKuRAbzMpSwbcJPRGbbNFR6avIMK4e1PiPLffLtRZeZJXxlazHaCTazApAGaEIPE7aGDqzTbyH5ElbFCDCihpKnFlhnF6GhbLL0IybNI2NDbsRUQubXNkI0aTR2OhbvJhJfaJWfPmduMYI1boXmPSeyNsJmcFXnQjeMOCKvbNMTPDb8PYRTcARd,1,0,,,,
octopus half guard,,half_guard octopus top_kneeling,ycaDx4uqaCCcyjdLzZwUcsEizpcOzDv0boEsFWa2Biyha0KZAOfyCeyyevEXG8ihIEC3h7LUJxeiJpC5d9OsKzawKYE4aFQcK8bnLNFMa8Q8L7aRMxGEauRRBOhcF8FajkKtGRjuMzrAaLFjvdaFAPtDaGIlvtdfDstAbBHewlcaC4xPgTFQDaa0CXC9eNJOE8bCJCE9jlDBIMfEBHDSj2H6KobjCzAxiTFVG1auz0zviAE9Hpbdy2zAhnEAHgaLxOGEeRHcGThLBYGiiCzt,1,0,,,,
smashed ¼ vs whizzer,,whizzer bottom_underhook quarter_guard knee_slice bottom_turned_in top_overhook,HUbztkzvbiJEFcbHvNyVeJImGDb6vVzZd8I5IqewCdFjaYMbDMhgGDBkfxIRJEhwMDFKi2QvJsfTIgCbfZQLIDckKzFteGOsJIcoLkGmdUNQJWblL6HoekNgDYinKSHMieOGI3hiQMr9cUDfxwiiFZuxchFZxSglJauodkE0yqghHRzqhTGiAXaYEfz5eHMtBObJK8GmfHSZIibvQ0DWgWPdIoaTMlB0hxLnK6axI7BqivKNLgaAHOBBiFJuLobEG8CIcEPjIidLSDKoe4Tu,1,0,,,,
standing vs de la riva,,standing bottom_supine,YyazBFJiaAGe0Da3yELeaEC5ZLbTzrKRbHD1VXgaDiLficGkS9msDuPElRCmQZupG8MCt9D3UDrvGOMwpLCiRTowHJLjn6F5QVobIzKNnPHdQymUIFKMmzHCQOp3CZOluSGaMNwlHOQkjzEANZn2DyOcgyEtQNlLEuN0hSDXPrlVEZG6hMELKFimIBJ5bMGsMIbKI2CMcIJNEZePOhF6bWGCJwf4OrJpbKDZGThpLcJ8b1CVFQh2LuLobFCUFfiUKGIDbVKADgeiL6BSgxL8,1,0,,,,
double leg from knees vs sprawl,,sprawl double_leg_takedown,zqaLXlKzcNWjADd4V5HEeZXez1cVVwIueMV5zOa5OSHEgsPsAOhzMxCwkJNBBqh0DTFblAEHBZdOB0JxmxGgDsa6y7IBiiGjDbbfxSHPhgGdDqavwTGxhiGlBBktJlDej4DpDVkDAWWpaAEMJPaAC2TJcmC0GUcLDOT4chErHpbvEfOPfUG5BZbEIwJyf2CxGveoDYInmkITDsjvJsJXjLMqDKeTJYGOjlO6z6dCL0F5i8P8yQdOMnE4iiPZyGdWNFGIiIEuFXkPJdEQmgLc,1,0,,,,
judo side going around c-cups,,judo_side side_control top_on_side bottom_supine,SLcduJPmazqtPKdPv8NqaMtCQ8dYwkOOaYthSof4CMRJaYzwL4eXz7K6bEBxM1jXGIK9ggKaNqlxChLgb6MhP2iLD0PnaHMGQOihERQva6MjRmg9EKRoauLEKKe3EiMxizJaNjkfK8voaHFABGgVGlyLaFG2E4fBHgxTbLGCEjfOF5B4g8HLHvdXAgHGdCJXHPbFGQPZcTMZRybOHXMre1KSOvdLEXN2hvHROSh7EvO6igHJPijeEVPdjeGVPiknEmLGcfIQRscrKFTIdhLL,1,0,,,,
reverse knee on belly,,knee_on_belly bottom_supine,NoazHzOsaAtyOLd2HmRcaEv0NwdqHFPLa1v9HaeDJzKteryKNTf5HTNphoEuIIkIMnGBlVHsIyf4LyGvjgDDEOehKMEBhbGZD6dHLGDWg9H9CXddLxDCibIMMgj9HDHtlVJ7FmmVLqtIaBIzy9jpJExoaEJgBXgWJiwmbII8Bvh5IxAqgZKlHHiOF0FcbQJcGLbNFOMObyOdPubGJOIcb9OnPyaUFaIAdZKALUcVGiIuffKCKRdJGcIDf1JyJLdhGNJybMJbOYb2MxQ5dyMV,1,0,,,,
bottom throwing leg up,,bottom_supine top_kneeling,F5az04JFaz06FVbTXEKIbRXME0aZYoKXaEYtBiaYSGNGaZSgGleDV5JYeIW3HgihNPLufxN1DGfeNoK9aTNAFSeaJ1GSaZMzF4dIIQGca8LwG7dcIrFHciK6IXgETiJyg7MFI2h5Kcxta4J2I7pyIzA7aEKsHimvJGAdbFKSIBmJI4DifdPNNViJHIIib2LXIQdXITQ0buOxR6dDJCMDa5QeNzeII9LKe5RdKngTK5LVgkRCKAh3LIKWg5RWJtiIL1MqcjKMSgcTMnUid7NE,1,0,,,,
judo side vs double c-cups,,judo_side top_on_side bottom_supine,SbaDusXnaCvyPtaMw3TGaEuSQObcwUUxaEv0RFf3BKSya2CBLedFATLNbCDVMUkDGpLpgVKjMwi4BYMscSMuOFf0DLP2a0KNPtfzEDRea3KgPDemEXRzazI9KifBEDMqi3IJOjj3KnznazIHBRhMF0C6aEI3ENfMHcB3bzIMD6fXFZCyilHwHtdZAhHqdTJLHLbDGQPteNMARmb2IjMUgwI1OLdvELNjiBFoMKg4DlN9i3EwNDh1DoNJjPDxNtiZCuLqccI5Q1dkKKTgewLt,1,0,,,,
judo side vs t-rex,,judo_side t_rex side_control bottom_supine top_on_side crossface,QRaItKXnaCvANZaFv4TIaEuVPqa9wiUxaEv5Tme9ArSra3CFMAe5BBLwbECrQ2f5IlMygaLqThb6JgLEb9NGQrbiMbPoaELYPdbtMoQqbeLqOqaJM2RdavKFLSeqFNPbgIKqPShCMRxqaCG9BVijEVALa3IGExhaHezQbYHYEigPFOCTh9HEIleMAyHsdxJYH3bHGMQcc5MQQ6bsHXLKdhLkNgbUFgPcfwKNPxd2IfQffVLnP3egJrQXgRKMPMfmJ6LpbMJBRoc7KfThewLs,1,0,,,,
sliced knee,,pass_through standing bottom_supine knee_slice,VmazHHKAaWFSSeb0GqLgeuFjSUcbHHK0dLGzSIe1N0Mwd3NkORjVKWLMjoI1KUiqSRGuh4QgNpgBPkGdefNEOfdSMeGdbRRkPtdnL7FLbCStPHcJKYFVaCTdK6kcNdH5iGSwGOhLUHNpecCALQe4BAMtaECJKKcXElMnbGDGLZdLEcLzgTIaQ5drIWHBcCLSK8bCL0GjcQUYLMcIU8C7ccREOabWRbFoe1PuMDfVQeE2fyQzMgfMRqFhgFQ6LzgHR5JdbNPQI1c9VMIIeaYf,1,0,,,,
coming up on posting turtle's leg,,turtle top_kneeling top_post_hand single_leg_takedown bottom_turned_in,JtaEDdDTaCIrLJc7EQGcdgHdLPbNEnGccsIsRXaYHAK3a8NfOWhcHVMihlKwVBhsOfRlhiRuXqeCKYOwdCRvYvaDLPQGauTGZna7MCRAa2UlZ8auNoSDauUMQhiCLNTKh6QkURh2SNvzbUQZs7azTwy3c6QGvvaEWjx4cGPDvHaPURz3bdI7x3a2OiD1dYN6EobDQZM0gzOhNgbxO1I7hPL4LTb3KyLJfGJvKsfWJdMVe4JrJZg9IVNBeUKAJIhVJYHUdZP9N7eaPdPQeDNd,1,0,,,,
arm dragged turtle,,turtle arm_drag,zJaCv5vkazBAAidLxSxHb8DVAYcuxUw1aPDVGia4B4ArbKJRDzhkDoBshJGrLDizGPI9hdLzNhegGbG7c6KFPQaWHcKoawJTQ4bgHmLubaJ5R1auHIMCawKhFFiHGYKNhRJnM2gUKmtoazI5zYaODuwIaFKFARaEG6v4bBJKBqbbFVwdhqFUHWa4H8zPezK5B2bCLLHxj8L7JofMOnFGloH3IPbmPHGmjqEfKbbBLHGoikDDKobNKpGBhdEiJKa9JvDHfzMIJairNCLvjnMG,1,0,,,,
turtle body lock,,turtle body_lock top_kneeling,NPazsOJSazsjO1bXv0I0bTvHPeaGvjIQaEuZSSa2A9ELa1AxNrezyDJReKxzNwjhFyInjmFnO4faHgGrfsGYLbeEIFKtfjIBJ6d6IlLpewIPJeeKHEMDeRIrK4hRAjKXjxGBLyjGI9NWaBzWGYazzLNMdlCrHGcSCwOkb1CoGWbACwOMa1JcGpa0JsMDeNDMIXemDZN3gHMnIOgSMXRjeoJZEvfKLBM9d9JiIhehJTLUdKJaIBeEIJKUeAJcJIeWIgKOgdHqLwgwNALNfePR,1,0,,,,
standing up from footsies,,footsies bottom_seated,zmaECOMEaBtZA0doENLTaLxAAub4E2LebmwpxqdeK6FvetyJDKe4INEQf9FryljLK4yflHFYydffMsBoi9DyxJa8NhDSgVAHwya8NMC7hbzJv2auOIC3gJyzDpjoH1xtkWICuPlpISyRazAGvxbxB9CcaRCdzdb8CsBvbyBcyhbMBqEuhiyOCqaYvYIic1CLIvbQziIOlgy6H2hAu4IuhcBkJjdWsoFpgbyBKcaUpmEJfMxyKBbdobEieyxuKsaxm7KwfAz6IhjMwMGmlywj,1,0,,,,
omoplata posturing up,,omoplata top_kneeling,N3azBDHpazzrNbcuEEH2ceCJNVbdEuHea6CgOUbdLeGfa8I0Mxe8FOI6fLEtMGiHMRHWjGMvN4eiNIDAjtKMNDaBPIE3gLHEM5bnQAFRgSGBMla3RxGFfRGiKCiMHeKxkxNeJYkZPPEMl4SjFtokRRDLi6QgFqk4P8EsklP4EWmnPOGxloJLBMlmJVETewKFBgenLdD6cDBWyUb2C4HIfmB2zVeJGJKnhMDNDEgUHkK7iOEgEEhNHrLOiYFfFRhuHDCEckHGBkcIBUBfeEz3,1,0,,,,
x-guard on knee leaning forward,,x_guard combat_base bottom_supine,LgaDznAEbuVdLodoBPzPc9RZLZb5BLA0deSSOia7H1F3gBPPKZhmG7HRhEI2PYjcOILjiNQRRPeZN9K5ehSaSbaHOEMvaETOSXbdPxM3bbUOTtauQvNxauVQLmjoKWNNjZQfOkkcSNNNfRJqLDc7FBLRcFI5J1ceIMLBd2IMKSdkIqGuhFGbNPgVNlGabCJOJMbHKMCAcwR4HAbuTYC2efNJJceOQ3FthKOhFtgMRbGwiqOuD9gGRlHJhROwDrgbQqGUbNN4ERchTLD3dDVW,1,0,,,,
knee slice vs t-rex,,pass_split knee_slice bottom_turned_in combat_base quarter_guard t_rex fetal,WdaBJhKJa9AwUOaEFPJtexA4UubjG3KcdzBXRugLJ4Iya1H6NUhyD9KigzEeKWi9M0Gpi1J6MjhwIRFTh9FyLkdRKBEMgYJBK0ebLREDgZKVKLc8MDFDgFLILyjDG7IfjDMbHejeOEOJbatHKTaKsWLjczuaIbbavnMucruVJBa2vxMMePBoNzaYBcGbfgDyG5bDDDHqguMlJsbFLPGggBHOKvaTHnKsgXHjLje2GuK5f7H8KQfGHyLTfcHGKlgTHhFRdnHrH9dPM5JpeJPc,1,0,,,,
half guard arm drag,,half_guard arm_drag bottom_seated top_kneeling two_on_one,zCaAvVuraACkz6dRxHwWcqEqAFcyxKv4bjEAGbbrBKyKbUKVBogvB6zEf4FnIIjZFtF5jRJ7IUflFoDbgjJlJMboGBCHfqE9KSbrHeDifHD5LraAHXCEfzCWCMi7FdH3kwIaJ4kIJWt0azIdx6aWABwFa0KNzqa1D1vHbQJ9zNbJCNzyhxJLE3f7D8CmbJMpEHbRJzCOjuM0HyjUMtBTfxKLHOgpJjDofoGTDLheH5Dff9FPCxhCIqCkfLEYB4g4JwFMegM4E1k3MkEdnbK3,1,0,,,,
waiter sweep start,,deep_half bottom_supine,KJaBwoCddrOyJgaTzKEobWLZKEbazhC6cELRNydNEPzpglHuHrd0BiDXejCqJekGGuD0kAG2JFhICWAWhrIvMaeIErDGeEKkMMeaFsEAeoLcMdc7F2E9dgLjF6h4B6GHk5HzGYl8JYzglzCdxGazulzphVBQzfaJxIz9iPCLyFbHwQDpf7H5yYijx6yLbDFbAbcnBPHQbvICIUbtDjDabwJhKJdqzuzXegJhLwf6CPzsfhJRLygjD5zPgtJLKBgAERC9bSEXI3b5F6JOeDGe,1,0,,,,
¼ clinch w/ knee on ground,,quarter_guard bottom_turned_in top_kneeling fetal,LcaAyKydcoBfLVcEBMz6fuAzL0biBqAielBwMUbrIgDba0GNIQepDrFwfECfIPkaJDEhlsHBKKgIG5AvjmFKJnfTKWCthJJeI6gGLTC0hXKoIygaMZD6hjKHH7iEDWGnlEJxEVmKLwwIeewitZc9yhvHc4zIu0cBBQwPdFy6vCcxAyDze5zKCdaYzbAxfiFXAgbCFRHfgPK4HVbsLVC0gSI0JjaTHxDMdHGpLCcbD6CMdTFBMBcRExCTdkEpM0cZFHC5dcIPIheiLRKSeOMg,1,0,,,,
standing vs supine butterfly,,standing butterfly bottom_supine,NbaECEDmaDDpMoa7y6DHaUzLMub4AdDIbXAOLuiJBWDMiHCzJeoUzTFwoOzTJGopI8FemzIyL5mXFpFDh1HuMoiJFAGndOIfM1iRGJFxdCI9NdhMHrFfcyJNHmpuDKG4n1KdGYnrMQERh1yeJBiLy9HwglAhHAf0AEGfgVAwIIgMA1DzhSGNM9hmGgFGbJEhJpbJEwDVbuNgIMbUN2BybpJeLTbzKvDTeJInL0e0HNERfaJbMfgdHYFJfUIIL5hdHcHhbMIiF3coONF7dpRe,1,0,,,,
combat base leg drag w/ bicep control,,pass_around leg_drag combat_base bottom_supine,OuazCkCSaZyELfaEAABYerzNLYbFBoCpdgAtLbidDxBob8HhFHgtzDCHf5BHJFiBHDEti8I2Kmd3IBC1e4HdIOdwMDCLcrKxIkebNDCgdcLtHMdwOCB7cMMHFCi0DdHhi3IZHMjcLBBLaztaxogPwSE1aJuWASgaxRDEaEvmzGgwyFzgaYAGAghnFyFqbCDJGIe1EoC1bEMEHXcfNCAaaTIZKTa6J8BUeMIfJxecHIBXf1IuIAe3H4CZgCIUH2fIG3GucmHRFecsOdEtdsQB,1,0,,,,
inverted half guard,,pass bottom_supine back_step half_guard,xIfFwPFncswrwTe3AnCfbKyfx3fIzJDqcuyDCAjaDCFZe8Evzue7IiBIcmJgF6lrJZHCijNUGvipGuEXeAOFIyePFRFEauPMJCeqFkFNa8QQKbdiFIFMawR0C4giKyHDkqL4JMlTMcHacSuME7cIrRGNbMygEnaMuYGsc0xAEYb1uDEhimBoIXghymCQcmEBF2bKCMEYczMQJ0bALLAGboLiK4dCHDzhfhKuG1eAGgzggvJ4GifEF2z5g0JhEZfwF7GkbMG5HNczNiIzd9Pi,1,0,,,,
standing between legs,,standing bottom_supine,PaazBByxaDDpMDaPyRyTaEzKNfbFzNy9bDALNthJC7BChHC2Jkl2zxFAl9ztJpmsIuEJlbHLLUjuFMDEhvEZNbfKEjFldSGLNWfEFpFSeqHPOveuFCGhdyILHqnGC3GGmyJiGzlALKx6oAAMSLg0wCz7l1yZPsfxvPzPmlAkP2f3w6BehLFlOZe6DWE1b1EhILbYD4DWbtNcIBbWNSBcaXJvL6aTK0DTdpHmLSdgHnD5eHG5MlerHvFee6GBMIe4GoG2bNH5F1cpOPF7dpRf,1,0,,,,
knee over pass w/ leg over shoulder,,pass_split bottom_supine top_kneeling knee_pin leg_over_shoulder,MabtAbFzaFvZLveMBOGqdRxMMjdDB2FvcMxWLzbtIxBFbgDtKLfkCSG7foB5J0hLKhERiZJcMaftGLCge5JJNLcFD2AJbaKXOMbPD2AobsMcOPaJDqzQaEM1IFiGEAHoiSKrG6jcM2DmmLPdQuazsoDwnsLwNhaGufDymiMnOGaWuCEzfEKSPma0BvFpcREzIWbEEaDYbtM9IHbWN6BublI9MmbSLaDueaGLLNfsIJCYfkGpMFgoIuDAfWFpMyhaHsHpbQIgF0cpOOF7dpRf,1,0,,,,
standing arm drag on back leg side,,standing arm_drag two_on_one,Eeaz1PFiaSQ3HEaL0tIscPRFGqbpZ7Hbc3Q6ATe0X5BefgOoGgg1T8HBgFQFFDpDTgIVpvPqD1lmSqH1nqLnFbmsOwFClLOzEXlNNsFhmZOTEEmdMiGenRPbIvksSDG7qSRbGmtoRNCqazKvtMaAVayMaFK2qNbbTgzNbGK7rGbQTyCuh2LMwGhbTdyknmNuxdnLQ1DnqMKCFNrVPmEAmWIbHgnHN2IdmyKcIhjWMbJincKnJhjcLPJTnwLrIYhWLxzTqUPtFdrzMDHJq1LP,1,0,,,,
removing butterfly hooks,,standing bottom_supine,OqaHCuJPcixKLsaEAcJBfJwuL3bDA0JafaxNMviiCgE4gsC5JpohzXFXmRz6JKn5I1FlmgIGMalBFRE8hPG8NJhFFTGudPIiNuhMHcFudOI7N0gOHWE9cRJQHhoSDGG9nUKbG0n1MSB4imymMIhTAzDqeZy8JhgrAOC9f7zVKrgxBHD0ilGeOzgkG6FSbKEoJwbYELD3cyNuJacsOdBUbNJsL8aTKYD8fbIxLSdgHmFcfOI3MkerHuF6gaH9MHe4GnHhbTIyGudiOEGrezQX,1,0,,,,
